172.217.31.131	 146	 11761	
192.168.126.133	 374	 409062	
52.30.196.99	 6	 450	
50.112.173.140	 11	 4085	
192.168.126.2	 20	 1538	
216.58.200.206	 16	 3514	
172.217.31.163	 10	 1385	
172.217.26.4	 13	 1880	
172.217.161.35	 9	 1341	
34.212.190.244	 9	 1984	
216.58.197.227	 28	 2780	
117.18.237.29	 4	 675	
172.217.26.46	 9	 1331	
172.217.25.226	 11	 1842	
141.223.163.185	 2	 108	
